A	[A]	ax
BEVERAGE	[BEVERAGE]	b eh v er ix jh
BEWARE	[BEWARE]	b ix w eh r
BEYOND	[BEYOND]	b ix aa n d
BI	[BI]	b ay
BIASED	[BIASED]	b ay ax s t
BIB	[BIB]	b ih b
BIBA	[BIBA]	b iy b ax
BIBI	[BIBI]	b ix b iy
BIBS	[BIBS]	b ih b z
BICYCLE	[BICYCLE]	b ay s ix k ax l
BICYCLES	[BICYCLES]	b ay s ix k ax l z
BIDDY	[BIDDY]	b ih dx iy
BIG	[BIG]	b ih g
BIGANDSMALLSHORTANDTALL	[BIGANDSMALLSHORTANDTALL]	b ih g ae n d s m ao l sh ao r t ae n d t ao l
BIGBIRD	[BIGBIRD]	b ih g b er d
BIGGER	[BIGGER]	b ih g er
BIGGEST	[BIGGEST]	b ih g ax s t
BIGGETY	[BIGGETY]	b ih g eh t iy
BIGGY	[BIGGY]	b ih g iy
BIGS	[BIGS]	b ih g z
BIGTIME	[BIGTIME]	b ih g t ay m
BIKE	[BIKE]	b ay k
BIKES	[BIKES]	b ay k s
BIKINI	[BIKINI]	b ix k iy n iy
BILL	[BILL]	b ih l
BILLY	[BILLY]	b ih l iy
BILLY'S	[BILLY'S]	b ih l iy z
BILLY_A	[BILLY_A]	b ih l iy
BIN	[BIN]	b ih n
BINDERGARTEN	[BINDERGARTEN]	b ih n d er g aa r t ax n
BINDOO	[BINDOO]	b ay n d uw
BINGING	[BINGING]	b ih ng g ix ng
BINGO	[BINGO]	b ih ng g ow
BINKET	[BINKET]	b ih ng k eh t
BINKIES	[BINKIES]	b ih ng k iy s
BINNY	[BINNY]	b ih n iy
BINOO	[BINOO]	b iy n uw
BINS	[BINS]	b ih n z
BIR	[BIR]	b er
BIRD	[BIRD]	b er d
BIRD'S	[BIRD'S]	b er d z
BIRDBATH	[BIRDBATH]	b er d b ae th
BIRDIE	[BIRDIE]	b er dx iy
BIRDIES	[BIRDIES]	b er dx iy z
BIRDS	[BIRDS]	b er d z
BIRDS'	[BIRDS']	b er d z
BIRDY	[BIRDY]	b er dx iy
BIRTH	[BIRTH]	b er th
BIRTHDAY	[BIRTHDAY]	b er th d ey
BIRTHDAYBEAR	[BIRTHDAYBEAR]	b er th d ey b eh r
BIRTHDAYBEAR'S	[BIRTHDAYBEAR'S]	b er th d ey b eh r z
BIRTHDAYS	[BIRTHDAYS]	b er th d ey z
BISCUIT	[BISCUIT]	b ih s k ax t
BISCUITS	[BISCUITS]	b ih s k ax t s
BISISI	[BISISI]	b ih s iy s iy
BISON	[BISON]	b ay s ax n
BISTLE	[BISTLE]	b ih s ax l
BIT	[BIT]	b ih t
BITE	[BITE]	b ay t
BITES	[BITES]	b ay t s
BITING	[BITING]	b ay dx ix ng
BITS	[BITS]	b ih t s
BITSY	[BITSY]	b ih t s iy
BIZARRE	[BIZARRE]	b ax z aa r
BIZZARE	[BIZZARE]	b iy z aa r
BJ	[BJ]	b iy jh ay
BLACK	[BLACK]	b l ae k
BLACKMAIL	[BLACKMAIL]	b l ae k m ey l
BLACKS	[BLACKS]	b l ae k s
BLADES	[BLADES]	b l ey d z
BLAME	[BLAME]	b l ey m
BLANK	[BLANK]	b l ae ng k
BLANKET	[BLANKET]	b l ae ng k ax t
BLANKETS	[BLANKETS]	b l ae ng k ax t s
BLANKIE	[BLANKIE]	b l ae ng k iy
BLASTER	[BLASTER]	b l ae s t er
BLASTING	[BLASTING]	b l ae s t ix ng
BLASTS	[BLASTS]	b l ae s t s
BLEAT	[BLEAT]	b l iy t
BLECH	[BLECH]	b l eh k
BLEDDER	[BLEDDER]	b l eh dx ax r
BLEEDING	[BLEEDING]	b l iy dx ix ng
BLEND	[BLEND]	b l eh n d
BLESS	[BLESS]	b l eh s
BLEW	[BLEW]	b l uw
BLIMP	[BLIMP]	b l ih m p
BLIMPIES	[BLIMPIES]	b l ih m p iy z
BLIND	[BLIND]	b l ay n d
BLINK	[BLINK]	b l ih ng k
BLINKED	[BLINKED]	b l ih ng k t
BLINKEN	[BLINKEN]	b l ih ng k eh n
BLINKING	[BLINKING]	b l ih ng k ix ng
BLISTEX	[BLISTEX]	b l ih s t eh k s
BLITHER	[BLITHER]	b l ih dh er
BLOB	[BLOB]	b l aa b
BLOCK	[BLOCK]	b l aa k
BLOCKING	[BLOCKING]	b l aa k ix ng
BLOCKS	[BLOCKS]	b l aa k s
BLOCKY	[BLOCKY]	b l aa k iy
BLOODPRESSURE	[BLOODPRESSURE]	b l ah d p r eh sh er
BLOOMING	[BLOOMING]	b l uw m ix ng
BLOSSOMS	[BLOSSOMS]	b l aa s ax m z
BLOUSE	[BLOUSE]	b l aw s
BLOW	[BLOW]	b l ow
BLOWDRIED	[BLOWDRIED]	b l ow d r ay d
BLOWDRIER	[BLOWDRIER]	b l ow d r ay er
BLOWDRY	[BLOWDRY]	b l ow d r ay
BLOWDRYING	[BLOWDRYING]	b l ow d r ay ix ng
BLOWER	[BLOWER]	b l ow er
BLOWING	[BLOWING]	b l ow ix ng
BLOWOUT	[BLOWOUT]	b l ow aw t
BLOWS	[BLOWS]	b l ow z
BLUBBER	[BLUBBER]	b l ah b er
BLUE	[BLUE]	b l uw
BLUE'S	[BLUE'S]	b l uw z
BLUEBERRIES	[BLUEBERRIES]	b l uw b eh r iy z
BLUEBERRIES_A	[BLUEBERRIES_A]	b l uw iy
BLUEBERRY	[BLUEBERRY]	b l uw b eh r iy
BLUEBERRY_A	[BLUEBERRY_A]	b l uw iy
BLUEBIRD	[BLUEBIRD]	b l uw b er d
BLUEIES	[BLUEIES]	b l uw iy z
BLUEJAY	[BLUEJAY]	b l uw jh ey
BLUES	[BLUES]	b l uw z
BLUSTERY	[BLUSTERY]	b l ah s t er iy
BOA	[BOA]	b ow ax
BOARD	[BOARD]	b ao r d
BOASTED	[BOASTED]	b ow s t ax d
BOASTS	[BOASTS]	b ow s t s
BOAT	[BOAT]	b ow t
BOAT'S	[BOAT'S]	b ow t s
BOATS	[BOATS]	b ow t s
BOB	[BOB]	b aa b
BOBBY	[BOBBY]	b aa b iy
BOBO	[BOBO]	b ow b ow
BOCK	[BOCK]	b aa k
BODY	[BODY]	b aa dx iy
BODY'S	[BODY'S]	b aa dx iy z
BOG	[BOG]	b aa g
BOGACK	[BOGACK]	b aa g ae k
BOGG	[BOGG]	b aa g
BOIK	[BOIK]	b oy k
BOIL	[BOIL]	b oy l
BOILING	[BOILING]	b oy l ix ng
BOINKED	[BOINKED]	b oy ng k t
BOK	[BOK]	b aa k
BOLLY	[BOLLY]	b aa l iy
BOMMY	[BOMMY]	b aa m iy
BON	[BON]	b aa n
BONE	[BONE]	b ow n
BONES	[BONES]	b ow n z
BONGING	[BONGING]	b aa ng ih ng
BONK	[BONK]	b aa ng k
BONKED	[BONKED]	b aa ng k t
BONKIE	[BONKIE]	b aa n k iy
BOO	[BOO]	b uw
BOOBALOO	[BOOBALOO]	b uw b ax l uw
BOOBIES	[BOOBIES]	b uw b iy z
BOOBOO	[BOOBOO]	b uw b uw
BOOBY	[BOOBY]	b uw b iy
BOOF	[BOOF]	b uw v
BOOGERS	[BOOGERS]	b uh g er z
BOOGIES	[BOOGIES]	b uw g iy z
BOOK	[BOOK]	b uh k
BOOK'S	[BOOK'S]	b uh k s
BOOKCASE	[BOOKCASE]	b uh k k ey s
BOOKING	[BOOKING]	b uh k ix ng
BOOKS	[BOOKS]	b uh k s
BOOKSTORE	[BOOKSTORE]	b uh k s t ao r
BOOKY	[BOOKY]	b uh k iy
BOOLET	[BOOLET]	b uw l eh t
BOOM	[BOOM]	b uw m
BOOST	[BOOST]	b uw s t
BOOT	[BOOT]	b uw t
BOOTH	[BOOTH]	b uw th
BOOTIES	[BOOTIES]	b uw dx iy z
BOOTS	[BOOTS]	b uw t s
BOP	[BOP]	b aa p
BOPPY	[BOPPY]	b aa p iy
BORDERS	[BORDERS]	b ao r dx er z
BORED	[BORED]	b ao r d
BORING	[BORING]	b ao r ix ng
BORN	[BORN]	b ao r n
BORRIDGE	[BORRIDGE]	b ow r ih jh
BORROW	[BORROW]	b aa r ow
BORROWING	[BORROWING]	b aa r ow ix ng
BOSSY	[BOSSY]	b ao s iy
BOSTON	[BOSTON]	b aa s t ax n
BOTH	[BOTH]	b ow th
BOTHER	[BOTHER]	b aa dh er
BOTHERING	[BOTHERING]	b aa dh er ix ng
BOTHERS	[BOTHERS]	b aa dh er z
BOTTA	[BOTTA]	b aa dx ax
BOTTLE	[BOTTLE]	b aa dx ax l
BOTTLES	[BOTTLES]	b aa dx ax l z
BOTTOM	[BOTTOM]	b aa dx ax m
BOTTOMS	[BOTTOMS]	b aa dx ax m z
BOUCIEST	[BOUCIEST]	b aw n s iy eh s t
BOUGHT	[BOUGHT]	b aa t
BOULDER	[BOULDER]	b ow l d er
BOULDERS	[BOULDERS]	b ow l d er z
BOUNCE	[BOUNCE]	b aw n s
BOUNCED	[BOUNCED]	b aw n s t
BOUNCES	[BOUNCES]	b aw n s ix z
BOUNCIEST	[BOUNCIEST]	b aw n s iy eh s t
BOUNCING	[BOUNCING]	b aw n s ix ng
BOUNCY	[BOUNCY]	b aw n s iy
BOUND	[BOUND]	b aw n d
BOUT	[BOUT]	b aw t
BOW	[BOW]	b aw
BOWL	[BOWL]	b ow l
BOWLING	[BOWLING]	b ow l ix ng
BOWLS	[BOWLS]	b ow l z
BOWS	[BOWS]	b aw z
BOX	[BOX]	b aa k s
BOXCAR	[BOXCAR]	b aa k s k aa r
BOXCARS	[BOXCARS]	b aa k s k aa r z
BOXES	[BOXES]	b aa k s ax z
BOY	[BOY]	b oy
BOY'S	[BOY'S]	b oy z
BOYFRIEND	[BOYFRIEND]	b oy f r eh n d
BOYNTON	[BOYNTON]	b oy n t ax n
BOYS	[BOYS]	b oy z
BRA	[BRA]	b r aa
BRAC	[BRAC]	b r ae k
BRACELET	[BRACELET]	b r ey s l ax t
BRACHIOSAURUS	[BRACHIOSAURUS]	b r ey k iy ow s ao r ax s
BRAIN	[BRAIN]	b r ey n
BRAN	[BRAN]	b r ae n
BRANCH	[BRANCH]	b r ae n ch
BRANCHES	[BRANCHES]	b r ae n ch ax z
BRAND	[BRAND]	b r ae n d
BRASS	[BRASS]	b r ae s
BRAVE	[BRAVE]	b r ey v
BRAY	[BRAY]	b r ey
BREAD	[BREAD]	b r eh d
BREAK	[BREAK]	b r ey k
BREAKDOWN	[BREAKDOWN]	b r ey k d aw n
BREAKFAST	[BREAKFAST]	b r eh k f ax s t
BREAKFASTMAKING	[BREAKFASTMAKING]	b r eh k f ax s t m ey k ix ng
BREAKING	[BREAKING]	b r ey k ix ng
BREAKS	[BREAKS]	b r ey k s
BREAST	[BREAST]	b r eh s t
BREATH	[BREATH]	b r eh th
BREATHE	[BREATHE]	b r iy dh
BREATHED	[BREATHED]	b r iy dh d
BREATHER	[BREATHER]	b r iy dh er
BREATHING	[BREATHING]	b r iy dh ix ng
BREATHS	[BREATHS]	b r eh th s
BREET	[BREET]	b r iy t
BREEZE	[BREEZE]	b r iy z
BREEZEWAY	[BREEZEWAY]	b r iy z w ey
BREEZY	[BREEZY]	b r iy z iy
BRENDA	[BRENDA]	b r eh n d ax
BRENDA'S	[BRENDA'S]	b r eh n d ax z
BRENDAN	[BRENDAN]	b r eh n d ax n
BRIBE	[BRIBE]	b r ay b
BRICK	[BRICK]	b r ih k
BRICKS	[BRICKS]	b r ih k s
BRIDE	[BRIDE]	b r ay d
BRIDGE	[BRIDGE]	b r ih jh
BRIDGES	[BRIDGES]	b r ih jh ax z
BRIDGET	[BRIDGET]	b r ih jh ax t
BRIDGET'S	[BRIDGET'S]	b r ih jh ax t s
BRIE	[BRIE]	b r iy
BRIEFCASE	[BRIEFCASE]	b r iy f k ey s
BRIEFEST	[BRIEFEST]	b r iy f ax s t
BRIGHT	[BRIGHT]	b r ay t
BRING	[BRING]	b r ih ng
BRINGING	[BRINGING]	b r ih ng ix ng
BRINGS	[BRINGS]	b r ih ng z
BRIOCHE	[BRIOCHE]	b r iy ow sh
BRISTLE	[BRISTLE]	b r ih s ax l
BRITCHES	[BRITCHES]	b r ih ch ax z
BRITNEY	[BRITNEY]	b r ih t n iy
BROCCOLI	[BROCCOLI]	b r aa k ax l iy
BROKE	[BROKE]	b r ow k
BROKEN	[BROKEN]	b r ow k ax n
BROKER	[BROKER]	b r ow k er
BROOKLINE	[BROOKLINE]	b r uh k l ay n
BROOM	[BROOM]	b r uw m
BROOMS	[BROOMS]	b r uw m z
BROTH	[BROTH]	b r ao th
BROTHER	[BROTHER]	b r ah dh er
BROTHER'S	[BROTHER'S]	b r ah dh er z
BROTHERS	[BROTHERS]	b r ah dh er z
BROUGHT	[BROUGHT]	b r ao t
BROWN	[BROWN]	b r aw n
BROWNS	[BROWNS]	b r aw n z
BROWS	[BROWS]	b r aw z
BRUCE	[BRUCE]	b r uw s
BRUSH	[BRUSH]	b r ah sh
BRUSHED	[BRUSHED]	b r ah sh t
BRUSHES	[BRUSHES]	b r ah sh ix z
BRUSHING	[BRUSHING]	b r ah sh ix ng
BUBBLE	[BUBBLE]	b ah b ax l
BUBBLEPAPER	[BUBBLEPAPER]	b ah b ax l p ey p er
BUBBLES	[BUBBLES]	b ah b ax l z
BUBBLES_A	[BUBBLES_A]	b ah b ax l z
BUBBLING	[BUBBLING]	b ah b ax l ix ng
BUCK	[BUCK]	b ah k
BUCKALEAK	[BUCKALEAK]	b ah k ax l iy k
BUCKET	[BUCKET]	b ah k ax t
BUCKETS	[BUCKETS]	b ah k ax t s
BUCKET_A	[BUCKET_A]	b ah k iy t
BUCKLE	[BUCKLE]	b ah k ax l
BUCKLED	[BUCKLED]	b ah k ax l d
BUCKLES	[BUCKLES]	b ah k ax l z
BUCKWHEAT	[BUCKWHEAT]	b ah k w iy t
BUCKY	[BUCKY]	b ah k iy
BUD	[BUD]	b ah d
BUDDHA	[BUDDHA]	b uw dx ax
BUDDY	[BUDDY]	b ah dx iy
BUFFALO	[BUFFALO]	b ah f ax l ow
BUFFER	[BUFFER]	b ah f er
BUFFERS	[BUFFERS]	b ah f er z
BUFFET	[BUFFET]	b ah f ax t
BUG	[BUG]	b ah g
BUGS	[BUGS]	b ah g z
BUG_A	[BUG_A]	b ah g ax
BUHBYE	[BUHBYE]	b ah b ay
BUHSHUM	[BUHSHUM]	b ah sh ax m
BUILD	[BUILD]	b ih l d
BUILDER	[BUILDER]	b ih l d er
BUILDING	[BUILDING]	b ih l d ix ng
BUILDINGS	[BUILDINGS]	b ih l d ix ng z
BUILDS	[BUILDS]	b ih l d z
BUILT	[BUILT]	b ih l t
BULB	[BULB]	b ah l b
BULK	[BULK]	b ah l k
BULL	[BULL]	b uh l
BULLDOZER	[BULLDOZER]	b uh l d ow z er
BUM	[BUM]	b ah m
BUMBI	[BUMBI]	b ah m b iy
BUMBLE	[BUMBLE]	b ah m b ax l
BUMBLEBEE	[BUMBLEBEE]	b ah m b ax l b iy
BUMBLEBEES	[BUMBLEBEES]	b ah m b ax l b iy z
BUMP	[BUMP]	b ah m p
BUMPED	[BUMPED]	b ah m p t
BUMPER	[BUMPER]	b ah m p er
BUMPETY	[BUMPETY]	b ah m p ax t iy
BUMPIES	[BUMPIES]	b ah m p iy z
BUMPING	[BUMPING]	b ah m p ix ng
BUMPS	[BUMPS]	b ah m p s
BUMPY	[BUMPY]	b ah m p iy
BUN	[BUN]	b ah n
BUNCH	[BUNCH]	b ah n ch
BUNDLE	[BUNDLE]	b ah n d ax l
BUNDLED	[BUNDLED]	b ah n d ax l d
BUNK	[BUNK]	b ah ng k
BUNNIES	[BUNNIES]	b ah n iy z
BUNNY	[BUNNY]	b ah n iy
BUNNY'S	[BUNNY'S]	b ah n iy z
BUNNYRABBIT	[BUNNYRABBIT]	b ah n iy r ae b ax t
BUNS	[BUNS]	b ah n z
BUNTINGS	[BUNTINGS]	b ah n t ix ng z
BUOY	[BUOY]	b uw iy
BUOYS	[BUOYS]	b uw iy z
BURBLE	[BURBLE]	b er b ax l
BUREAU	[BUREAU]	b y uh r ow
BURIED	[BURIED]	b eh r iy d
BURLY	[BURLY]	b er l iy
BURN	[BURN]	b er n
BURNED	[BURNED]	b er n d
BURP	[BURP]	b er p
BURPING	[BURPING]	b er p ix ng
BURPS	[BURPS]	b er p s
BURRITO	[BURRITO]	b er iy dx ow
BURROW	[BURROW]	b er ow
BURROWS	[BURROWS]	b er ow z
BURSIE	[BURSIE]	b er s iy
BURST	[BURST]	b er s t
BURSTING	[BURSTING]	b er s t ix ng
BURT	[BURT]	b er t
BURY	[BURY]	b eh r iy
BUS	[BUS]	b ah s
BUSDRIVER	[BUSDRIVER]	b ah s d r ay v er
BUSES	[BUSES]	b ah s ix z
BUSH	[BUSH]	b uh sh
BUSHES	[BUSHES]	b uh sh ax z
BUSHY	[BUSHY]	b uh sh iy
BUSI	[BUSI]	b uw s iy
BUSINESS	[BUSINESS]	b ih z n ax s
BUSY	[BUSY]	b ih z iy
BUT	[BUT]	b ah t
BUTCHER	[BUTCHER]	b uh ch er
BUTHE	[BUTHE]	b ah dh ax
BUTTA	[BUTTA]	b ah t aa
BUTTER	[BUTTER]	b ah dx er
BUTTERED	[BUTTERED]	b ah dx er d
BUTTERFLIES	[BUTTERFLIES]	b ah dx er f l ay z
BUTTERFLIES_A	[BUTTERFLIES_A]	b ah l ax z
BUTTERFLY	[BUTTERFLY]	b ah dx er f l ay
BUTTERFLY_A	[BUTTERFLY_A]	b ah l ax
BUTTER_A	[BUTTER_A]	b ah d er
BUTTON	[BUTTON]	b ah t ax n
BUTTONING	[BUTTONING]	b ah t ax n ih ng
BUTTONS	[BUTTONS]	b ah t ax n z
BUY	[BUY]	b ay
BUYING	[BUYING]	b ay ix ng
BUYS	[BUYS]	b ay z
BUZZ	[BUZZ]	b ah z
BUZZER	[BUZZER]	b ah z er
BUZZING	[BUZZING]	b ah z ix ng
BUZZY	[BUZZY]	b ah z iy
BY	[BY]	b ay
BYE	[BYE]	b ay
BYEBYE	[BYEBYE]	b ay b ay
BYEBYE_A	[BYEBYE_A]	b ay b ay
C	[C]	s iy
C'MON	[C'MON]	k ax m aa n
C'S	[C'S]	s iy z
CAB	[CAB]	k ae b
CABBAGE	[CABBAGE]	k ae b ax jh
CABINET	[CABINET]	k ae b ax n ax t
CABLE	[CABLE]	k ey b ax l
CABOOSE	[CABOOSE]	k ax b uw s
CADBURY	[CADBURY]	k ae d b eh r iy
CADET	[CADET]	k ax d eh t
CADET'S	[CADET'S]	k ax d eh t s
CADETS	[CADETS]	k ax d eh t s
CAETANO	[CAETANO]	k ax t aa n ow
CAF	[CAF]	k ae f
CAFE	[CAFE]	k ax f ey
CAFETERIA	[CAFETERIA]	k ae f ax t ih r iy ax
CAGE	[CAGE]	k ey jh
CAILLOU	[CAILLOU]	k ey l uw
CAILLOU'S	[CAILLOU'S]	k ey l uw z
CAKE	[CAKE]	k ey k
CAKES	[CAKES]	k ey k s
CALCULATOR	[CALCULATOR]	k ae l k y ax l ey dx er
CALENDAR	[CALENDAR]	k ae l ax n d er
CALENDULA	[CALENDULA]	k ax l eh n jh uh l ax
CALF	[CALF]	k ae f
CALIFORNIA	[CALIFORNIA]	k ae l ax f ao r n y ax
CALL	[CALL]	k ao l
CALLED	[CALLED]	k ao l d
CALLING	[CALLING]	k ao l ix ng
CALLS	[CALLS]	k ao l z
CALM	[CALM]	k aa m
CALMER	[CALMER]	k aa m er
CALVES	[CALVES]	k ae v z
CAME	[CAME]	k ey m
CAMEL	[CAMEL]	k ae m ax l
CAMELS	[CAMELS]	k ae m ax l z
CAMERA	[CAMERA]	k ae m er ax
CAMERA'S	[CAMERA'S]	k ae m r ax z
CAMOUFLAGED	[CAMOUFLAGED]	k ae m ax f l aa zh d
CAMPING	[CAMPING]	k ae m p ix ng
CAMUT	[CAMUT]	k ax m uw t
CAN	[CAN]	k ae n
CAN'T	[CAN'T]	k ae n t
CANADIAN	[CANADIAN]	k ax n ey dx iy ax n
CANALS	[CANALS]	k ax n ae l z
CANDIDATE	[CANDIDATE]	k ae n d ax dx ey t
CANDIES	[CANDIES]	k ae n d iy z
CANDLE	[CANDLE]	k ae n d ax l
CANDLES	[CANDLES]	k ae n d ax l z
CANDY	[CANDY]	k ae n d iy
CANES	[CANES]	k ey n z
CANNOT	[CANNOT]	k ae n aa t
CANOE	[CANOE]	k ax n uw
CANS	[CANS]	k ae n z
CANT	[CANT]	k ae n t
CANTALOUPE	[CANTALOUPE]	k ae n t ax l ow p
CANVAS	[CANVAS]	k ae n v ax s
CANYON	[CANYON]	k ae n y ax n
CAP	[CAP]	k ae p
CAPE	[CAPE]	k ey p
CAPITAN	[CAPITAN]	k ae p ix t ax n
CAPTAIN	[CAPTAIN]	k ae p t ax n
CAPTURING	[CAPTURING]	k ae p ch er ix ng
CAR	[CAR]	k aa r
CAR'S	[CAR'S]	k aa r z
CARBS	[CARBS]	k aa r b z
CARCAR	[CARCAR]	k aa r k aa r
CARD	[CARD]	k aa r d
CARD'S	[CARD'S]	k aa r d z
CARDAR	[CARDAR]	k aa r d aa r
CARDBOARD	[CARDBOARD]	k aa r d b ao r d
CARDINAL	[CARDINAL]	k aa r d ax n ax l
CARDINALS	[CARDINALS]	k aa r d ax n ax l z
CARDS	[CARDS]	k aa r d z
CARE	[CARE]	k eh r
CAREBEAR	[CAREBEAR]	k eh r b eh r
CAREER	[CAREER]	k er ih r
CAREFUL	[CAREFUL]	k eh r f ax l
CAREFULLY	[CAREFULLY]	k eh r f ax l iy
CARL	[CARL]	k aa r l
CARLO	[CARLO]	k aa r l ow
CARLOS	[CARLOS]	k aa r l ow s
CARLY	[CARLY]	k aa r l iy
CARNIVAL	[CARNIVAL]	k aa r n ax v ax l
CAROL	[CAROL]	k ae r ax l
CAROLINA	[CAROLINA]	k eh r ax l ay n ax
CAROLINE	[CAROLINE]	k eh r ax l ay n
CAROLINE'S	[CAROLINE'S]	k eh r ax l ay n z
CAROUSEL	[CAROUSEL]	k eh r ax s eh l
CARPENTRY	[CARPENTRY]	k aa r p ax n t r iy
CARPET	[CARPET]	k aa r p ax t
CARRIAGE	[CARRIAGE]	k ae r ix jh
CARRIE	[CARRIE]	k eh r iy
CARRIED	[CARRIED]	k ae r iy d
CARRIER	[CARRIER]	k ae r iy er
CARRIERS	[CARRIERS]	k ae r iy er z
CARRIES	[CARRIES]	k ae r iy z
CARROT	[CARROT]	k ae r ax t
CARROT'S	[CARROT'S]	k ae r ax t s
CARROTS	[CARROTS]	k ae r ax t s
CARRY	[CARRY]	k ae r iy
CARRYING	[CARRYING]	k ae r iy ix ng
CARS	[CARS]	k aa r z
CARSEAT	[CARSEAT]	k aa r s iy t
CART	[CART]	k aa r t
CARTER	[CARTER]	k aa r dx er
CARTER'S	[CARTER'S]	k aa r dx er z
CARTON	[CARTON]	k aa r t ax n
CARTRIDGE	[CARTRIDGE]	k aa r t r ax jh
CARTS	[CARTS]	k aa r t s
CASE	[CASE]	k ey s
CASES	[CASES]	k ey s ax z
CASH	[CASH]	k ae sh
CASSOWARY	[CASSOWARY]	k ae s ax w eh r iy
CASTLES	[CASTLES]	k ae s ax l z
CASUAL	[CASUAL]	k ae zh ax w ax l
CAT	[CAT]	k ae t
CAT'S	[CAT'S]	k ae t s
CATALOG	[CATALOG]	k ae dx ax l ao g
CATALOGS	[CATALOGS]	k ae dx ax l aa g z
CATASTROPHE	[CATASTROPHE]	k ax t ae s t r ax f iy
CATCH	[CATCH]	k ae ch
CATCHER	[CATCHER]	k ae ch er
CATCHES	[CATCHES]	k ae ch ax z
CATCHING	[CATCHING]	k ae ch ix ng
CATERPILLAR	[CATERPILLAR]	k ae dx ax p ih l er
CATERPILLARS	[CATERPILLARS]	k ae dx ax p ih l er z
CATERPILLER	[CATERPILLER]	k ae dx ax p ih l er
CATHEDRAL	[CATHEDRAL]	k ax th iy d r ax l
CATS	[CATS]	k ae t s
CATS'	[CATS']	k ae t s
CATTIE	[CATTIE]	k ae t iy
CATTLE	[CATTLE]	k ae dx ax l
CAT_A	[CAT_A]	k ae t iy
CAUGHT	[CAUGHT]	k aa t
CAULIFLOWER	[CAULIFLOWER]	k aa l ax f l aw er
CAUSE	[CAUSE]	k aa z
CAUSING	[CAUSING]	k aa z ix ng
CAUTION	[CAUTION]	k aa sh ax n
CAUTIOUS	[CAUTIOUS]	k ao sh ax s
CAVE	[CAVE]	k ey v
CAW	[CAW]	k ao
CD	[CD]	s iy d iy
CD'S	[CD'S]	s iy d iy z
CDS	[CDS]	s iy d iy z
CECILIA	[CECILIA]	s ix s iy l y ax
CEDAR	[CEDAR]	s iy dx er
CEILING	[CEILING]	s iy l ix ng
CELEBRATE	[CELEBRATE]	s eh l ax b r ey t
CELEBRATED	[CELEBRATED]	s eh l ax b r ey dx ax d
CELEBRATION	[CELEBRATION]	s eh l ax b r ey sh ax n
CELERY	[CELERY]	s eh l er iy
CELL	[CELL]	s eh l
CELLAR	[CELLAR]	s eh l er
CELLPHONE	[CELLPHONE]	s eh l f ow n
CEMENT	[CEMENT]	s ax m eh n t
CEMENTTRUCK	[CEMENTTRUCK]	s ax m eh n t t r ah k
CENTER	[CENTER]	s eh n t er
CENTRAL	[CENTRAL]	s eh n t r ax l
CEREAL	[CEREAL]	s ih r iy ax l
CERTAIN	[CERTAIN]	s er t ax n
CERTAINLY	[CERTAINLY]	s er t ax n l iy
CHA	[CHA]	ch aa
CHACHA	[CHACHA]	ch aa ch aa
CHACHACHA	[CHACHACHA]	ch ah ch ah ch aa
CHAI	[CHAI]	ch ay
CHAIN	[CHAIN]	ch ey n
CHAINS	[CHAINS]	ch ey n z
CHAIR	[CHAIR]	ch eh r
CHAIRS	[CHAIRS]	ch eh r z
CHALK	[CHALK]	ch aa k
CHALKBOARD	[CHALKBOARD]	ch aa k b ao r d
CHAMOMILE	[CHAMOMILE]	k aa m eh m iy l
CHAMPION	[CHAMPION]	ch ae m p iy ax n
CHANCE	[CHANCE]	ch ae n s
CHANGE	[CHANGE]	ch ey n jh
CHANGED	[CHANGED]	ch ey n jh d
CHANGING	[CHANGING]	ch ey n jh ix ng
CHANNEL	[CHANNEL]	ch ae n ax l
CHANNELS	[CHANNELS]	ch ae n ax l z
CHAPPED	[CHAPPED]	ch ae p t
CHARACTER	[CHARACTER]	k eh r ix k t er
CHARACTERS	[CHARACTERS]	k ae r ix k t er z
CHARGE	[CHARGE]	ch aa r jh
CHARGED	[CHARGED]	ch aa r jh d
CHARLEY	[CHARLEY]	ch aa r l iy
CHARLIE	[CHARLIE]	ch aa r l iy
CHARLIE'S	[CHARLIE'S]	ch aa r l iy z
CHARLOTTE	[CHARLOTTE]	sh aa r l ax t
CHARLOTTE'S	[CHARLOTTE'S]	sh aa r l ax t s
CHARTS	[CHARTS]	ch aa r t s
CHASE	[CHASE]	ch ey s
CHASED	[CHASED]	ch ey s t
CHASES	[CHASES]	ch ey s ax z
CHASING	[CHASING]	ch ey s ix ng
CHAT	[CHAT]	ch ae t
CHEAP	[CHEAP]	ch iy p
CHEATED	[CHEATED]	ch iy dx ax d
CHECK	[CHECK]	ch eh k
CHECKED	[CHECKED]	ch eh k t
CHECKERS	[CHECKERS]	ch eh k er z
CHECKING	[CHECKING]	ch eh k ix ng
CHECKS	[CHECKS]	ch eh k s
CHECKUPS	[CHECKUPS]	ch eh k ah p s
CHEDDARCHEESE	[CHEDDARCHEESE]	ch eh dx er ch iy z
CHEE	[CHEE]	ch iy
CHEEK	[CHEEK]	ch iy k
CHEEKS	[CHEEKS]	ch iy k s
CHEEP	[CHEEP]	ch iy p
CHEEPED	[CHEEPED]	ch iy p t
CHEER	[CHEER]	ch ih r
CHEERFUL	[CHEERFUL]	ch ih r f ax l
CHEERIO	[CHEERIO]	ch ih r iy ow
